Trace File Name, Cache Size, Block Size, Replacement Policy, Associativity, Total Blocks, Tag Size (bits), Index Size (bits), Total Indices, Overhead Memory Size (KB), Implementation Memory Size (KB), Total Cache Accesses, Cache Hits, Cache Misses, Compulsory Misses, Conflict Misses, Hit Rate %, Miss Rate %, CPI
"Trace2A.trc", 8, 4, RR, 2, 2048, 20, 10, 1024, 5376, 13568, 370372, 339422, 30950, 2048, 28902, 91.6, 8.4, 4.8
"Trace2A.trc", 8, 4, RND, 2, 2048, 20, 10, 1024, 5376, 13568, 370372, 339546, 30826, 2046, 28780, 91.7, 8.3, 4.8
"Trace2A.trc", 8, 16, RR, 2, 512, 20, 8, 256, 1344, 9536, 282176, 267641, 14535, 512, 14023, 94.8, 5.2, 4.2
"Trace2A.trc", 8, 16, RND, 2, 512, 20, 8, 256, 1344, 9536, 282176, 267719, 14457, 512, 13945, 94.9, 5.1, 4.2
"Trace2A.trc", 8, 64, RR, 2, 128, 20, 6, 64, 336, 8528, 264662, 256880, 7782, 128, 7654, 97.1, 2.9, 4.0
"Trace2A.trc", 8, 64, RND, 2, 128, 20, 6, 64, 336, 8528, 264662, 256654, 8008, 128, 7880, 97.0, 3.0, 4.0
"Trace2A.trc", 64, 4, RR, 2, 16384, 17, 13, 8192, 36864, 102400, 370372, 354401, 15971, 11437, 4534, 95.7, 4.3, 4.6
"Trace2A.trc", 64, 4, RND, 2, 16384, 17, 13, 8192, 36864, 102400, 370372, 353351, 17021, 10220, 6801, 95.4, 4.6, 4.7
"Trace2A.trc", 64, 16, RR, 2, 4096, 17, 11, 2048, 9216, 74752, 282176, 274919, 7257, 3877, 3380, 97.4, 2.6, 4.1
"Trace2A.trc", 64, 16, RND, 2, 4096, 17, 11, 2048, 9216, 74752, 282176, 274388, 7788, 3540, 4248, 97.2, 2.8, 4.1
"Trace2A.trc", 64, 64, RR, 2, 1024, 17, 9, 512, 2304, 67840, 264662, 261634, 3028, 1007, 2021, 98.9, 1.1, 4.0
"Trace2A.trc", 64, 64, RND, 2, 1024, 17, 9, 512, 2304, 67840, 264662, 261402, 3260, 960, 2300, 98.8, 1.2, 4.0
"Trace2A.trc", 256, 4, RR, 2, 65536, 15, 15, 32768, 131072, 393216, 370372, 355000, 15372, 15064, 308, 95.8, 4.2, 4.6
"Trace2A.trc", 256, 4, RND, 2, 65536, 15, 15, 32768, 131072, 393216, 370372, 354534, 15838, 14223, 1615, 95.7, 4.3, 4.6
"Trace2A.trc", 256, 16, RR, 2, 16384, 15, 13, 8192, 32768, 294912, 282176, 275344, 6832, 6388, 444, 97.6, 2.4, 4.1
"Trace2A.trc", 256, 16, RND, 2, 16384, 15, 13, 8192, 32768, 294912, 282176, 275091, 7085, 5841, 1244, 97.5, 2.5, 4.1
"Trace2A.trc", 256, 64, RR, 2, 4096, 15, 11, 2048, 8192, 270336, 264662, 262098, 2564, 2121, 443, 99.0, 1.0, 4.0
"Trace2A.trc", 256, 64, RND, 2, 4096, 15, 11, 2048, 8192, 270336, 264662, 261950, 2712, 1922, 790, 99.0, 1.0, 4.0
"Trace2A.trc", 1024, 4, RR, 2, 262144, 13, 17, 131072, 458752, 1507328, 370372, 355023, 15349, 15260, 89, 95.9, 4.1, 4.6
"Trace2A.trc", 1024, 4, RND, 2, 262144, 13, 17, 131072, 458752, 1507328, 370372, 354691, 15681, 15205, 476, 95.8, 4.2, 4.6
"Trace2A.trc", 1024, 16, RR, 2, 65536, 13, 15, 32768, 114688, 1163264, 282176, 275392, 6784, 6624, 160, 97.6, 2.4, 4.1
