Trace File Name, Cache Size (KB), Block Size (bytes), Replacement Policy, Associativity, Total Blocks, Tag Size (bits), Index Size (bits), Total Indices, Overhead Memory Size (KB), Implementation Memory Size (KB), Total Cache Accesses, Cache Hits, Cache Misses, Compulsory Misses, Conflict Misses, Hit Rate %, Miss Rate %, CPI
"TinyTrace.trc", 256, 32, RND, 8, 8192, 17, 10, 1024, 18432, 280576, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 32, RND, 16, 8192, 18, 9, 512, 19456, 281600, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 32, LRU, 1, 8192, 14, 13, 8192, 15360, 277504, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 32, LRU, 2, 8192, 15, 12, 4096, 16384, 278528, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 32, LRU, 4, 8192, 16, 11, 2048, 17408, 279552, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 32, LRU, 8, 8192, 17, 10, 1024, 18432, 280576, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 32, LRU, 16, 8192, 18, 9, 512, 19456, 281600, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 64, RR, 1, 4096, 14, 12, 4096, 7680, 269824, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 64, RR, 2, 4096, 15, 11, 2048, 8192, 270336, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 64, RR, 4, 4096, 16, 10, 1024, 8704, 270848, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 64, RR, 8, 4096, 17, 9, 512, 9216, 271360, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 64, RR, 16, 4096, 18, 8, 256, 9728, 271872, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 64, RND, 1, 4096, 14, 12, 4096, 7680, 269824, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 64, RND, 2, 4096, 15, 11, 2048, 8192, 270336, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 64, RND, 4, 4096, 16, 10, 1024, 8704, 270848, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 64, RND, 8, 4096, 17, 9, 512, 9216, 271360, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 64, RND, 16, 4096, 18, 8, 256, 9728, 271872, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 64, LRU, 1, 4096, 14, 12, 4096, 7680, 269824, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
"TinyTrace.trc", 256, 64, LRU, 2, 4096, 15, 11, 2048, 8192, 270336, 9, 6, 3, 3, 0, 66.7, 33.3, 3.7
